mean,std
0.35652664,0.6687303
0.37293857,0.6043693
0.35198215,0.6279784
0.37910923,0.6057409
0.37112865,0.6024089
0.3656747,0.5966856
0.36747476,0.69233686
0.38123742,0.70259875
0.3592974,0.60179406
0.35801277,0.6542421
0.35816127,0.61713487
0.3548779,0.6959169
0.35135365,0.62670416
0.35602614,0.626103
0.37117255,0.61455435
0.37198952,0.60261697
0.34896258,0.66149384
0.3844706,0.5962107
0.37105045,0.6701461
0.35761866,0.6368757
0.35157925,0.62999725
0.3789621,0.60311764
0.35425738,0.61868566
0.35505685,0.5913066
0.38769296,0.5994138
0.36721915,0.69298846
0.3711803,0.6774763
0.39386567,0.60443103
0.34507114,0.6422932
0.36390054,0.60375303
0.37565467,0.6833458
0.37451133,0.66544485
0.3776082,0.60228926
0.35423076,0.6480731
0.35296914,0.62207717
0.37985006,0.6054581
0.359275,0.6273677
0.37663916,0.632075
0.36423296,0.6704762
0.35701123,0.63565123
0.3796033,0.6044594
0.3482283,0.62993383
0.37861517,0.70055294
0.38687292,0.61485153
0.36630857,0.5740652
0.36037597,0.6380242
0.37305006,0.6069456
0.36604774,0.62509525
0.3555826,0.67732626
0.37489983,0.60657364
0.37836373,0.58350974
0.3593945,0.6177156
0.35168934,0.620527
0.34314933,0.6209647
0.3690185,0.57590324
0.36186936,0.60078996
0.38014293,0.6062251
0.37915188,0.6088458
0.38608438,0.61264133
0.37830195,0.656624
0.36176133,0.67368037
0.34275505,0.6570404
0.3548801,0.65114003
0.370279,0.6083979
0.3648792,0.68238294
0.37141326,0.5738387
0.3626998,0.5958005
0.3496744,0.62752664
0.36534476,0.5821417
0.37665522,0.65628314
0.35937652,0.6391271
0.35492364,0.6553574
0.35984418,0.6021118
0.3700574,0.63437784
0.3468162,0.6383125
0.3542046,0.63050896
0.3460837,0.62849486
0.35852307,0.684846
0.37401822,0.6279066
0.37468067,0.60783404
0.37475854,0.65236634
0.3508352,0.60215425
0.35642767,0.6572833
0.36057118,0.6377565
0.38224506,0.7079512
0.36789495,0.60888654
0.36223704,0.65792924
0.38767058,0.64923286
0.35760662,0.59286624
0.34942,0.60942376
0.35953325,0.6509182
0.35340628,0.63806593
0.35789818,0.6140867
0.36457133,0.6152223
0.37699226,0.60511696
0.38518816,0.6154977
0.3558676,0.59951466
0.3606257,0.6638624
0.35939962,0.6955595
0.3795799,0.7066314
0.37277386,0.5956564
0.36747003,0.6111468
0.37279782,0.5946968
0.38710672,0.60465723
0.37324595,0.70441073
0.36338234,0.58906996
0.36845905,0.6011681
0.36021805,0.6554022
0.37464917,0.6207015
0.36430252,0.6295433
0.37045848,0.62618625
0.35873994,0.6089624
0.36847445,0.5867604
0.34974924,0.6141454
0.37564954,0.71114993
0.3561722,0.6821604
0.35159203,0.6386257
0.3574216,0.6202987
0.36691713,0.60942996
0.3592987,0.64434683
0.37646675,0.59751403
0.34798008,0.6655524
0.36699688,0.6273997
0.38260305,0.6046629
0.3633015,0.6324579
0.37295955,0.5985922
0.35045382,0.62048054
0.36817038,0.6029258
0.3660349,0.61880714
0.38895863,0.5621736
0.34867162,0.59441465
0.3517961,0.62338006
0.38279244,0.6054303
0.38087243,0.6167028
0.39358065,0.58581764
0.34733847,0.610577
0.3647171,0.6759414
0.3780717,0.6085412
0.34801304,0.64604473
0.34786016,0.67197174
0.35356528,0.66680276
0.37180188,0.679683
0.38448715,0.710849
0.3599303,0.6000356
0.35990855,0.60909593
0.36329734,0.6267352
0.36140296,0.6510904
0.36643848,0.6251656
0.3809448,0.61168295
0.358055,0.6600625
0.38222587,0.6409082
0.36214644,0.5984099
0.36011848,0.6829575
0.3624817,0.66551536
0.35646188,0.6388718
0.35739174,0.62760645
0.3700401,0.6760169
0.35414982,0.63105154
0.3612155,0.60607666
0.35148692,0.66567224
0.35335964,0.6102211
0.38617975,0.6053771
0.35139674,0.6661421
0.3547972,0.6194146
0.3627267,0.5890354
0.3724381,0.6568335
0.37546006,0.5821154
0.36965352,0.59021217
0.35167372,0.62887156
0.38527912,0.6098638
0.36095327,0.65167403
0.36105102,0.65628046
0.349532,0.6416225
0.35389274,0.6334171
0.37100253,0.6657124
0.38916135,0.68011504
0.36907563,0.617288
0.36040643,0.6407707
0.34975624,0.6733523
0.35419926,0.6306054
0.37108913,0.59047186
0.3646138,0.6078972
0.36986834,0.6387708
0.34895754,0.6292228
0.36534262,0.59621656
0.35155627,0.6079821
0.3536455,0.6541387
0.36241147,0.6160078
0.38643265,0.61029327
0.34537986,0.6394995
0.37729266,0.5947449
0.37536338,0.58172894
0.3882541,0.6230769
0.36263523,0.64981973
0.3583583,0.62096596
0.38313338,0.5981336
0.36118367,0.61415017
0.3535074,0.6369481
0.36090228,0.59341913
0.37820536,0.5937195
0.36567846,0.61198235
0.37219393,0.59052086
0.37649962,0.62416595
0.3733901,0.62391794
0.37298355,0.6154384
0.38243675,0.62272054
0.38254538,0.6114324
0.36880308,0.6117839
0.371495,0.6387369
0.39398775,0.6656214
0.38257354,0.6030676
0.38234246,0.6299339
0.35356417,0.63964856
0.34634706,0.604533
0.37626326,0.6009012
0.38031936,0.603041
0.35361347,0.60538465
0.35067892,0.5982245
0.34902528,0.6307056
0.3714434,0.5926671
0.3672029,0.6752702
0.3790509,0.6095377
0.37557974,0.67636937
0.34904945,0.6560978
0.37556085,0.61400473
0.3460434,0.67992276
0.37598932,0.6165786
0.37213904,0.5924881
0.36510772,0.58097637
0.36966795,0.5845912
0.35465714,0.60468477
0.38027248,0.6123941
0.3702307,0.5997109
0.37906244,0.62246215
0.3664059,0.6010835
0.37239715,0.6019677
0.35493636,0.6746809
0.34925506,0.5851633
0.38602433,0.6053024
0.369734,0.60367554
0.35238948,0.67367095
0.3797646,0.6698831
0.35469213,0.60015726
0.38436076,0.59868884
0.34727013,0.5931404
0.3623599,0.61971694
0.3659329,0.6066084
0.35100937,0.6390836
0.3689819,0.62892103
0.3699198,0.5721172
0.38399377,0.6161137
0.35568753,0.6361447
0.3732121,0.59415966
0.37412217,0.62964064
0.37898618,0.6761836
0.35783795,0.62982833
