mean,std
0.23958811,0.4197074
0.19732502,0.3500246
0.20803015,0.6561587
0.1429062,0.16195516
0.17586991,0.3890834
0.16233306,0.3664912
0.21226008,0.38742208
0.20553775,0.29109773
0.12018418,0.34370056
0.19081256,0.55510235
0.14573292,0.46470785
0.14658166,0.18664949
0.20589522,0.50879335
0.15807451,0.4975014
0.1644961,0.44134635
0.12735993,0.37609068
0.12680945,0.12353241
0.16975728,0.2980162
0.20802365,0.34804028
0.15361804,0.47037444
0.17812915,0.40725073
0.20846961,0.37391815
0.18443634,0.5315634
0.1893578,0.39955318
0.17792302,0.30541852
0.15551648,0.45885915
0.192754,0.26812047
0.16603576,0.19621076
0.18460643,0.44016296
0.14749447,0.44937003
0.17726551,0.35280684
0.19075042,0.5940037
0.15286778,0.45790127
0.15559746,0.16981252
0.16816062,0.2558513
0.20631626,0.6151737
0.1383078,0.13436334
0.18095045,0.5716737
0.1563677,0.47675204
0.15757988,0.44712478
0.1288882,0.4180846
0.1503542,0.44525787
0.14537981,0.43124714
0.18193313,0.51243305
0.1781194,0.18366374
0.19530907,0.41361663
0.15567915,0.46553433
0.14900225,0.46157077
0.14957792,0.47565237
0.1755292,0.19011071
0.13020532,0.13660583
0.24348377,0.56193304
0.1641811,0.2555576
0.19803154,0.47076583
0.17877994,0.17571254
0.17400905,0.3771737
0.19579293,0.57030934
0.18598956,0.600503
0.247168,0.41181812
0.17359611,0.26338315
0.13883017,0.4226938
0.14032888,0.3807199
0.17811483,0.22168948
0.15751836,0.38724956
