mean,std
0.48410547,0.26782814
-0.5959162,0.3788802
-0.23749113,0.21878946
-0.6219568,0.32464394
0.8745511,0.55329156
-0.43900985,0.243253
-0.64390194,0.4585725
1.0595044,0.64324
-0.6484863,0.50467294
0.56703013,0.27013797
-0.46337685,0.26216578
-0.54038984,0.2597527
0.78579956,0.58651227
-0.8015778,0.4383779
0.6937144,0.39533043
-0.29051176,0.26628283
-0.39174643,0.24502683
0.52653766,0.29030243
0.4293828,0.27953503
0.6590629,0.41402724
0.30520234,0.3004581
0.4957359,0.37913716
-0.6055769,0.42633745
0.7547169,0.43414298
0.86015505,0.56047475
-0.78210694,0.49325374
0.77665085,0.48086014
-0.20182925,0.2115241
0.805476,0.49579343
-0.5893118,0.3977601
0.0079632215,0.17608538
-0.4564074,0.34214422
-0.82626444,0.59547615
-0.5145551,0.25667033
-0.55313057,0.38336468
-0.057711374,0.21276927
0.5750305,0.34546244
-0.5874865,0.39440075
0.6707071,0.3791763
0.45922914,0.3472533
-0.68004596,0.4196753
0.21889341,0.18889484
0.9318116,0.59921956
-0.39590988,0.30311176
-0.54588634,0.3539556
0.30170885,0.25973853
-0.50002784,0.29368377
-0.3657739,0.27397752
-0.60994065,0.34912732
-0.43784288,0.32484618
-0.61475205,0.33260244
0.6789654,0.5044014
0.6802908,0.44805944
0.5983213,0.42516443
-0.51262885,0.26175866
0.034760155,0.22832978
0.9563421,0.6921358
-0.4441671,0.27163762
0.376159,0.23819932
0.2868601,0.2016658
0.31756115,0.24414746
0.5074403,0.31904104
-0.32667533,0.18362471
0.21965717,0.19377732
0.18058309,0.23396066
-0.44113305,0.28671974
-0.08977069,0.19571662
-0.3612621,0.2580624
0.4255756,0.23017985
0.5406719,0.34328297
0.6321885,0.35445818
-0.6128997,0.3857196
-0.17782538,0.214572
0.49656597,0.37756813
0.7246175,0.41143644
-1.0102903,0.73916465
0.7436813,0.5161562
-0.5620955,0.31054363
0.49261785,0.36594895
0.74232674,0.50287634
-0.3497464,0.2753391
0.6415281,0.41145137
0.44084156,0.2953917
0.44909814,0.23772316
0.68172437,0.4318479
0.40759543,0.30942157
0.33250713,0.28393292
0.48758143,0.35874283
0.66438514,0.4388407
-0.52425176,0.33104825
-0.48493952,0.2929365
1.0056646,0.6619005
0.50299156,0.2645197
-0.5851512,0.39318776
-0.7835013,0.41890234
-0.7614932,0.5261995
-0.2502296,0.27409005
0.7283279,0.38816264
-0.36998144,0.27824032
-0.80562687,0.53898877
-0.7977205,0.47937417
-0.558171,0.38284308
0.93707573,0.60631526
0.091918394,0.16253377
-0.3876089,0.26068014
0.5345254,0.3401279
0.55879194,0.32227564
0.39735675,0.25085276
-0.67727196,0.49114686
0.5502282,0.37433216
-0.49595037,0.33276042
0.408835,0.316294
-0.5576368,0.32635057
0.49611378,0.31923378
-0.7299492,0.47519132
-0.56762934,0.30122247
0.4443145,0.30800697
0.57199377,0.2920376
-0.61775404,0.3369221
-0.77272475,0.50483584
-0.27758643,0.18742691
-0.40483683,0.2304171
-1.0521092,0.66907775
-0.3576739,0.30309358
0.35566205,0.23799162
0.5767999,0.36016023
-0.6337307,0.4535949
0.63799626,0.37490177
